taxonID,parentTaxonID,scientificName
SH220719.07FU,Mycena_galopus,SH220719.07FU
SH526184.07FU,Fungi_sp,SH526184.07FU
Tylospora_asterophora,Tylospora,Tylospora_asterophora
SH197766.07FU,Tylospora_asterophora,SH197766.07FU
Russula_rosea,Russula,Russula_rosea
SH178880.07FU,Russula_rosea,SH178880.07FU
Polyporales,Agaricomycetes,Polyporales
Ganodermataceae,Polyporales,Ganodermataceae
Ganoderma,Ganodermataceae,Ganoderma
Ganoderma_applanatum,Ganoderma,Ganoderma_applanatum
SH187220.07FU,Ganoderma_applanatum,SH187220.07FU
SH207620.07FU,Basidiomycota_sp,SH207620.07FU
Mycena_megaspora,Mycena,Mycena_megaspora
SH133259.07FU,Mycena_megaspora,SH133259.07FU
Cortinarius_tubarius,Cortinarius,Cortinarius_tubarius
SH218844.07FU,Cortinarius_tubarius,SH218844.07FU
unidentified,Cortinariaceae,unidentified
Cortinariaceae_sp,unidentified,Cortinariaceae_sp
SH201235.07FU,Cortinariaceae_sp,SH201235.07FU
Hygrocybe_sp,Hygrocybe,Hygrocybe_sp
SH457847.07FU,Hygrocybe_sp,SH457847.07FU
SH491957.07FU,Ascomycota_sp,SH491957.07FU
SH028293.07FU,Inocybe_sp,SH028293.07FU
Russula_vesca,Russula,Russula_vesca
SH178290.07FU,Russula_vesca,SH178290.07FU
Mycena_cinerella,Mycena,Mycena_cinerella
SH220720.07FU,Mycena_cinerella,SH220720.07FU
Mortierella_gemmifera,Mortierella,Mortierella_gemmifera
SH185196.07FU,Mortierella_gemmifera,SH185196.07FU
Polyporales_fam_Incertae_sedis,Polyporales,Polyporales_fam_Incertae_sedis
Phlebiella,Polyporales_fam_Incertae_sedis,Phlebiella
Phlebiella_sp,Phlebiella,Phlebiella_sp
SH484815.07FU,Phlebiella_sp,SH484815.07FU
SH214459.07FU,Cenococcum_geophilum,SH214459.07FU
SH001784.07FU,Fungi_sp,SH001784.07FU
SH180521.07FU,Archaeorhizomyces_sp,SH180521.07FU
SH030360.07FU,Helotiales_sp,SH030360.07FU
SH004487.07FU,Archaeorhizomyces_sp,SH004487.07FU
SH218294.07FU,Helotiales_sp,SH218294.07FU
SH208603.07FU,Chaetothyriales_sp,SH208603.07FU
Macrolepiota,Agaricaceae,Macrolepiota
Macrolepiota_procera,Macrolepiota,Macrolepiota_procera
SH176793.07FU,Macrolepiota_procera,SH176793.07FU
SH025552.07FU,Archaeorhizomyces_sp,SH025552.07FU
SH458673.07FU,Agaricomycetes_sp,SH458673.07FU
Amanita_rubescens,Amanita,Amanita_rubescens
SH221016.07FU,Amanita_rubescens,SH221016.07FU
Trechisporales,Agaricomycetes,Trechisporales
Hydnodontaceae,Trechisporales,Hydnodontaceae
Luellia,Hydnodontaceae,Luellia
Luellia_recondita,Luellia,Luellia_recondita
SH179954.07FU,Luellia_recondita,SH179954.07FU
Massarinaceae,Pleosporales,Massarinaceae
Saccharicola,Massarinaceae,Saccharicola
Saccharicola_sp,Saccharicola,Saccharicola_sp
SH180765.07FU,Saccharicola_sp,SH180765.07FU
SH217842.07FU,Chaetothyriales_sp,SH217842.07FU
SH222010.07FU,Archaeorhizomyces_sp,SH222010.07FU
Saccharomycetales_fam_Incertae_sedis,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis
Candida,Saccharomycetales_fam_Incertae_sedis,Candida
Candida_sake,Candida,Candida_sake
SH175136.07FU,Candida_sake,SH175136.07FU
Eurotiales,Eurotiomycetes,Eurotiales
Trichocomaceae,Eurotiales,Trichocomaceae
Penicillium,Trichocomaceae,Penicillium
Penicillium_jensenii,Penicillium,Penicillium_jensenii
SH407688.07FU,Penicillium_jensenii,SH407688.07FU
Dactylaria,Helotiales_fam_Incertae_sedis,Dactylaria
Dactylaria_sp,Dactylaria,Dactylaria_sp
SH212640.07FU,Dactylaria_sp,SH212640.07FU
Didymosphaeriaceae,Pleosporales,Didymosphaeriaceae
Didymosphaeria,Didymosphaeriaceae,Didymosphaeria
Didymosphaeria_sp,Didymosphaeria,Didymosphaeria_sp
SH197542.07FU,Didymosphaeria_sp,SH197542.07FU
SH204643.07FU,Rozellomycota_sp,SH204643.07FU
Russula_atropurpurea,Russula,Russula_atropurpurea
SH186212.07FU,Russula_atropurpurea,SH186212.07FU
Mortierella_exigua,Mortierella,Mortierella_exigua
SH180111.07FU,Mortierella_exigua,SH180111.07FU
SH197469.07FU,Sebacina_sp,SH197469.07FU
SH211035.07FU,Ascomycota_sp,SH211035.07FU
Alternaria_metachromatica,Alternaria,Alternaria_metachromatica
SH216783.07FU,Alternaria_metachromatica,SH216783.07FU
unidentified,Hydnodontaceae,unidentified
Hydnodontaceae_sp,unidentified,Hydnodontaceae_sp
SH186050.07FU,Hydnodontaceae_sp,SH186050.07FU
Vibrisseaceae,Helotiales,Vibrisseaceae
Phialocephala,Vibrisseaceae,Phialocephala
